"","country","year","GOV_Cab_LR","Cab_LR_lag1","Cab_LR_lag2","Cab_LR_lag3","Cab_LR_lag4","Cab_LR_lag5","dyn_cab_LR1","dyn_cab_LR2","dyn_cab_LR3","dyn_cab_LR4","dyn_cab_LR5","pall","gdp_pc","econ_dev","delta_ineq","yearly_net_migration","Country","EFindex","democracy","group"
"621",250,1989,1.73910439014435,4.3091926574707,12.162691116333,7.89840507507324,-7.388916015625,-11.1470928192139,-2.57008826732635,-7.8534984588623,4.26428604125977,15.2873210906982,3.75817680358887,0.4009509664,35686.2,0.0161070665971721,5.84672999999758e-05,55276.6,NA,NA,1,NA
"622",250,1990,1.94235825538635,1.73910439014435,4.3091926574707,12.162691116333,7.89840507507324,-7.388916015625,0.203253865242004,-2.57008826732635,-7.8534984588623,4.26428604125977,15.2873210906982,0.4010094337,36261,0.000620501365103003,0.00282385470000002,24434,NA,NA,1,NA
"623",250,1991,1.22906148433685,1.94235825538635,1.73910439014435,4.3091926574707,12.162691116333,7.89840507507324,-0.7132967710495,0.203253865242004,-2.57008826732635,-7.8534984588623,4.26428604125977,0.4038332884,36283.5,0.0044731076108976,-0.00227676789999998,24434,NA,NA,1,NA
"624",250,1992,-0.0906116366386414,1.22906148433685,1.94235825538635,1.73910439014435,4.3091926574707,12.162691116333,-1.31967312097549,-0.7132967710495,0.203253865242004,-2.57008826732635,-7.8534984588623,0.4015565205,36445.8,-0.0167124881330635,0.00357316749999997,24434,NA,NA,1,NA
"560",250,1993,6.05206871032715,-0.0906116366386414,1.22906148433685,1.94235825538635,1.73910439014435,4.3091926574707,6.14268034696579,-1.31967312097549,-0.7132967710495,0.203253865242004,-2.57008826732635,0.405129688,35836.7,0.0135057078358219,0.0031119617,24434,NA,NA,1,NA
"561",250,1994,7.32781505584717,6.05206871032715,-0.0906116366386414,1.22906148433685,1.94235825538635,1.73910439014435,1.27574634552002,6.14268034696579,-1.31967312097549,-0.7132967710495,0.203253865242004,0.4082416497,36320.7,0.0130751885288555,-0.000451262399999985,24434,NA,NA,1,NA
"562",250,1995,6.16286754608154,7.32781505584717,6.05206871032715,-0.0906116366386414,1.22906148433685,1.94235825538635,-1.16494750976562,1.27574634552002,6.14268034696579,-1.31967312097549,-0.7132967710495,0.4077903873,36795.6,0.00509571796627858,0.00833494270000001,38726.2,NA,NA,1,NA
"563",250,1996,4.99792051315308,6.16286754608154,7.32781505584717,6.05206871032715,-0.0906116366386414,1.22906148433685,-1.16494703292847,-1.16494750976562,1.27574634552002,6.14268034696579,-1.31967312097549,0.41612533,36983.1,0.0168320124597451,0.00255115210000001,38726.2,NA,NA,1,NA
"564",250,1997,0.233168840408325,4.99792051315308,6.16286754608154,7.32781505584717,6.05206871032715,-0.0906116366386414,-4.76475167274475,-1.16494703292847,-1.16494750976562,1.27574634552002,6.14268034696579,0.4186764821,37605.6,0.0280224221924395,0.0046591574,38726.2,NA,NA,1,NA
"565",250,1998,-3.53546643257141,0.233168840408325,4.99792051315308,6.16286754608154,7.32781505584717,6.05206871032715,-3.76863527297974,-4.76475167274475,-1.16494703292847,-1.16494750976562,1.27574634552002,0.4233356395,38659.4,0.027380145579083,-0.00220580450000002,38726.2,NA,NA,1,NA
"566",250,1999,-3.37225866317749,-3.53546643257141,0.233168840408325,4.99792051315308,6.16286754608154,7.32781505584717,0.163207769393921,-3.76863527297974,-4.76475167274475,-1.16494703292847,-1.16494750976562,0.421129835,39717.9,0.0285337341601644,0.00199345779999999,38726.2,NA,NA,1,NA
"567",250,2000,-3.20905113220215,-3.37225866317749,-3.53546643257141,0.233168840408325,4.99792051315308,6.16286754608154,0.163207530975342,0.163207769393921,-3.76863527297974,-4.76475167274475,-1.16494703292847,0.4231232928,40851.2,0.0089128348738839,0.000411565300000027,185296.6,NA,NA,1,NA
"568",250,2001,-3.04584336280823,-3.20905113220215,-3.37225866317749,-3.53546643257141,0.233168840408325,4.99792051315308,0.163207769393921,0.163207530975342,0.163207769393921,-3.76863527297974,-4.76475167274475,0.4235348581,41215.3,-0.000300859146967302,0.00137817549999997,185296.6,NA,NA,1,NA
"569",250,2002,2.47157096862793,-3.04584336280823,-3.20905113220215,-3.37225866317749,-3.53546643257141,0.233168840408325,5.51741433143616,0.163207769393921,0.163207530975342,0.163207769393921,-3.76863527297974,0.4249130336,41202.9,-0.000364052044880336,0.00428893070000003,185296.6,NA,NA,1,NA
"570",250,2003,4.53487491607666,2.47157096862793,-3.04584336280823,-3.20905113220215,-3.37225866317749,-3.53546643257141,2.06330394744873,5.51741433143616,0.163207769393921,0.163207530975342,0.163207769393921,0.4292019643,41187.9,0.0173594672221696,0.00486817610000001,185296.6,NA,NA,1,NA
"571",250,2004,3.55568814277649,4.53487491607666,2.47157096862793,-3.04584336280823,-3.20905113220215,-3.37225866317749,-0.979186773300171,2.06330394744873,5.51741433143616,0.163207769393921,0.163207530975342,0.4340701404,41902.9,0.0106866111892016,-0.000485511500000035,185296.6,NA,NA,1,NA
"572",250,2005,2.57650136947632,3.55568814277649,4.53487491607666,2.47157096862793,-3.04584336280823,-3.20905113220215,-0.979186773300171,-0.979186773300171,2.06330394744873,5.51741433143616,0.163207769393921,0.4335846289,42350.7,0.0172984153744804,-0.00181572889999998,89224,NA,NA,1,NA
"573",250,2006,1.59731471538544,2.57650136947632,3.55568814277649,4.53487491607666,2.47157096862793,-3.04584336280823,-0.979186654090881,-0.979186773300171,-0.979186773300171,2.06330394744873,5.51741433143616,0.4317689,43083.3,0.0149756402132612,0.00770514690000002,89224,NA,NA,1,NA
"574",250,2007,1.01792335510254,1.59731471538544,2.57650136947632,3.55568814277649,4.53487491607666,2.47157096862793,-0.579391360282898,-0.979186654090881,-0.979186773300171,-0.979186773300171,2.06330394744873,0.4394740469,43728.5,-0.00801994122826068,0.00347342839999998,89224,NA,NA,1,NA
"575",250,2008,2.03931570053101,1.01792335510254,1.59731471538544,2.57650136947632,3.55568814277649,4.53487491607666,1.02139234542847,-0.579391360282898,-0.979186654090881,-0.979186773300171,-0.979186773300171,0.4429474753,43377.8,-0.0338006998971825,-0.0123065393,89224,NA,NA,1,NA
"576",250,2009,3.19450759887695,2.03931570053101,1.01792335510254,1.59731471538544,2.57650136947632,3.55568814277649,1.15519189834595,1.02139234542847,-0.579391360282898,-0.979186654090881,-0.979186773300171,0.430640936,41911.6,0.00952003741207685,0.00204943280000003,89224,NA,NA,1,NA
"577",250,2010,4.49638366699219,3.19450759887695,2.03931570053101,1.01792335510254,1.59731471538544,2.57650136947632,1.30187606811523,1.15519189834595,1.02139234542847,-0.579391360282898,-0.979186654090881,0.4326903688,42310.6,0.00382646429027245,-0.00088613970000001,84766.2,NA,NA,1,NA
"578",250,2011,6.19626092910767,4.49638366699219,3.19450759887695,2.03931570053101,1.01792335510254,1.59731471538544,1.69987726211548,1.30187606811523,1.15519189834595,1.02139234542847,-0.579391360282898,0.4318042291,42472.5,-0.00957325328153508,-0.00691913579999998,84766.2,NA,NA,1,NA
"579",250,2012,0.768395066261292,6.19626092910767,4.49638366699219,3.19450759887695,2.03931570053101,1.01792335510254,-5.42786586284637,1.69987726211548,1.30187606811523,1.15519189834595,1.02139234542847,0.4248850933,42065.9,-1.18861120289831e-05,-0.00191908130000001,84766.2,NA,NA,1,NA
"580",250,2013,-5.75890254974365,0.768395066261292,6.19626092910767,4.49638366699219,3.19450759887695,2.03931570053101,-6.52729761600494,-5.42786586284637,1.69987726211548,1.30187606811523,1.15519189834595,0.422966012,42065.4,0.00419109291721927,-0.00146431050000001,84766.2,NA,NA,1,NA
"581",250,2014,-5.88250398635864,-5.75890254974365,0.768395066261292,6.19626092910767,4.49638366699219,3.19450759887695,-0.12360143661499,-6.52729761600494,-5.42786586284637,1.69987726211548,1.30187606811523,0.4215017015,42241.7,0.00617399394437257,0.00959544969999998,84766.2,NA,NA,1,NA
"629",250,2015,-6.0531849861145,-5.88250398635864,-5.75890254974365,0.768395066261292,6.19626092910767,4.49638366699219,-0.170680999755859,-0.12360143661499,-6.52729761600494,-5.42786586284637,1.69987726211548,0.4310971512,42502.5,0.00585142050467613,-0.00179395449999997,36527.2,NA,NA,1,NA
"676",276,1949,-2.71409511566162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany",0.072,1,1
"677",276,1950,-2.84714698791504,-2.71409511566162,NA,NA,NA,NA,-0.133051872253418,NA,NA,NA,NA,NA,9936.6,0.0857335507115109,NA,NA,"Germany",0.073,1,1
"678",276,1951,-3.02454972267151,-2.84714698791504,-2.71409511566162,NA,NA,NA,-0.17740273475647,-0.133051872253418,NA,NA,NA,NA,10788.5,0.0790193261343097,NA,NA,"Germany",0.074,1,1
"638",276,1952,-3.2019522190094,-3.02454972267151,-2.84714698791504,-2.71409511566162,NA,NA,-0.177402496337891,-0.17740273475647,-0.133051872253418,NA,NA,NA,11641,0.0746499441628726,NA,NA,"Germany",0.076,1,1
"639",276,1953,-3.02955412864685,-3.2019522190094,-3.02454972267151,-2.84714698791504,-2.71409511566162,NA,0.172398090362549,-0.177402496337891,-0.17740273475647,-0.133051872253418,NA,NA,12510,0.062494004796163,NA,NA,"Germany",0.077,1,1
"640",276,1954,0.487703800201416,-3.02955412864685,-3.2019522190094,-3.02454972267151,-2.84714698791504,-2.71409511566162,3.51725792884827,0.172398090362549,-0.177402496337891,-0.17740273475647,-0.133051872253418,NA,13291.8,0.105486089167758,NA,NA,"Germany",0.078,1,1
"641",276,1955,4.60164594650269,0.487703800201416,-3.02955412864685,-3.2019522190094,-3.02454972267151,-2.84714698791504,4.11394214630127,3.51725792884827,0.172398090362549,-0.177402496337891,-0.17740273475647,NA,14693.9,0.0688653114557741,NA,NA,"Germany",0.079,1,1
"642",276,1956,8.97462177276611,4.60164594650269,0.487703800201416,-3.02955412864685,-3.2019522190094,-3.02454972267151,4.37297582626343,4.11394214630127,3.51725792884827,0.172398090362549,-0.177402496337891,NA,15705.8,0.0505991417183461,NA,NA,"Germany",0.08,1,1
"643",276,1957,13.2992134094238,8.97462177276611,4.60164594650269,0.487703800201416,-3.02955412864685,-3.2019522190094,4.32459163665771,4.37297582626343,4.11394214630127,3.51725792884827,0.172398090362549,NA,16500.5,0.0269567588860943,NA,NA,"Germany",0.082,1,1
